name,flag_imaging_tan23,flag_imaging_shajib20,perturber_flag,flag_sigma,z_lens,z_source,sigma_v,sigma_v_error,q,comment_imaging,IFU,n_bin_kcwi,psf_ifu_kcwi,flag_ifu_kcwi,comment_ifu_kcwi,n_bin_vimos,r_max_vimos,psf_ifu_vimos,fiber_scale_vimos,flag_ifu_vimos,ifu_file_name_vimos,comment_ifu_vimos,r_eff_auger,theta_E_auger,theta_E,theta_E_error,gamma,gamma_error_stat,gamma_error_sys,e1_mass,e1_mass_error,e2_mass,e2_mass_error,r_eff,r_eff_error,light_model,r_sersic_1,n_sersic_1,e1_sersic1,e2_sersic1,amp_sersic_1,r_sersic_2,n_sersic_2,e1_sersic2,e2_sersic2,amp_sersic_2,lensing_information_dinosi,lensing_information_dinosii,spectra_snr_flag,sigma_v_smk,sigma_v_error_smk,sdss_spectra_snr,sigma_v_kcwi_half_reff,sigma_v_kcwi_half_reff_error
SDSSJ1112+0826,1,1,1,1,0.273,0.629,260,14,-1.0,,1,7.0,0.8,1.0,"Fast rotation, fewer Voronoi bins, lower confidence",,,,,168.210833,8.4362222,0.74601381,1.83,1.485,1.4972212022904672,0.0103669233722461,1.9228838259594283,0.0313143607019539,0.1756842685248988,-0.0342982717773095,0.0084681806492867,-0.1455549851317448,0.0224269657435765,1.623,0.003,single_sersic,1.6236396052467277,4.0,-0.0185473905187132,-0.1378409510156607,1.6376453397848476,,,,,,1109.5767528918404,254.94371172974635,0,270.88437094896403,22.05723707467947,6.095223426818848,276.4,3.4
SDSSJ1134+6027,1,0,1,1,0.153,0.474,238,7,-1.0,,0,,,,,,,,,,,,2.15,1.102,1.2433434058678785,0.0042364275980239,1.7506612808115678,0.0084782831715406,0.1967476167574338,-0.0047158530135244,0.0027243144125915,-0.0126306765744659,0.0078753459426659,1.899,0.007,double_sersic,1.0818561097672053,4.0,-0.0627462609902033,-0.0735905708239298,5.3401574646378265,4.24075696525191,1.0,-0.0627462609902033,-0.0735905708239298,0.3131279563149299,2190.584175926155,475.5503518230327,0,237.0995069119095,10.196509460395529,13.252450942993164,,
SDSSJ1142+1001,0,0,1,1,0.222,0.504,237,15,-1.0,,0,,,,,,,,,,,,2.11,0.984,,,,,,,,,,,,,,,,,,,,,,,,,0,206.7213380346216,20.526497000439704,6.336962699890137,,
SDSSJ1143-0144,0,0,0,1,0.106,0.402,259,3,-1.0,,0,,,,,,,,,,,,5.41,1.684,,,,,,,,,,,,,,,,,,,,,,,,,1,257.6388404895682,5.063535445580449,29.988330841064453,,
SDSSJ1153+4612,0,0,1,1,0.18,0.875,210,11,-1.0,,0,,,,,,,,,,,,1.43,1.048,,,,,,,,,,,,,,,,,,,,,,,,,0,222.80704163125947,14.639424003675249,9.167806625366213,,
SDSSJ1204+0358,1,1,1,1,0.164,0.631,250,12,-1.0,,1,7.0,0.8,1.0,,2.0,2.0,0.8,0.67,1.0,J1204_kinmap.fits,181.183625,1.65,1.308,1.294818986879498,0.002464768017504,2.0237109114170617,0.0267092749812999,0.0472445559140773,0.0423425204732572,0.0052427774951001,0.0339969934952735,0.0057829738424586,1.544,0.004,double_sersic,0.9033546844742568,4.0,-0.0068336398802599,-0.0055077214077847,5.240864188411569,2.821608968988738,1.0,-0.0068336398802599,-0.0055077214077847,0.566274517572681,682.2103375118337,204.87782289602788,0,253.9391266742817,17.883873563824675,8.969661712646484,260.2,2.9
SDSSJ1213+6708,1,0,1,1,0.123,0.64,267,7,-1.0,,0,,,,,,,,,,,,3.36,1.416,1.4511222361092917,0.0048030699829125,1.706942029725382,0.0122926247219666,0.2180726377746441,-0.0066382229723322,0.0046329001835941,0.0016859008849146,0.0009087173864537,2.771,0.003,double_sersic,1.1119837950079263,4.0,-0.085781351998353,0.0712979734899654,8.097223917893595,4.835036515861224,1.0,-0.085781351998353,0.0712979734899654,0.7921091914026686,339.894577963954,96.23395266695242,1,253.60808852591083,9.893457272481148,16.805347442626953,,
SDSSJ1218+0830,1,0,1,1,0.135,0.717,221,6,-1.0,,0,,,,,,,,,,,,3.77,1.45,1.488816882209555,0.0076600506089784,1.9614172123057672,0.0235790732950086,0.0989676531420495,0.0413679482023398,0.0099715769516542,0.2162602625875235,0.0175322693329769,3.506,0.021,double_sersic,2.217516013279392,4.0,0.0290326208306056,0.1654116297378058,2.8504653416838828,8.38016927645052,1.0,0.0290326208306056,0.1654116297378058,0.1397338765396037,705.4251066927458,203.46642367410828,1,224.30586547548364,8.85883756644662,15.03255558013916,,
SDSSJ1250-0135,0,-1,0,1,0.0871,0.3529,234,6,,no Einstein radius reported in Auger et al. 2009,1,,,,,4.0,4.0,0.8,0.67,0.0,J1250B_kinmap.fits,should have IFU flag=1 but does not have an Einstein radius,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,1,243.9577996484132,7.956863217453348,18.316139221191406,,
SDSSJ1250+0523,1,1,1,1,0.232,0.795,242,10,-1.0,,1,7.0,0.8,1.0,minor rotation,3.0,3.0,0.8,0.67,1.0,J1250A_kinmap.fits,192.61775,1.91,1.13,1.12009508419343,0.0011627823146333,2.1805092080218778,0.0293989459892451,0.0845263117747545,0.0265090195974818,0.0028911418404525,-0.0271520737562417,0.0030535990272782,1.748,0.004,single_sersic,1.7493581234611373,4.0,0.0401632549742849,-0.0138822652815103,18.224783291922364,,,,,,749.2568965836626,225.0585497814708,0,219.8699013935941,12.093624329966664,11.28249740600586,243.4,2.6
SDSSJ1251-0208,0,0,1,0,0.2243,0.7843,209,19,,,1,,,,,3.0,3.0,0.8,0.67,0.0,J1251_kinmap.fits,fast rotation,5.34,0.841,,,,,,,,,,,,,,,,,,,,,,,,,0,193.3330285046146,21.43761567676739,5.722443103790283,,
SDSSJ1306+0600,1,1,1,0,0.173,0.472,247,13,-1.0,,1,7.0,0.8,1.0,minor rotation,,,,,,,196.556875,2.34,1.317,1.3121671321554214,0.0064204472976421,1.974798783542013,0.0519500527843008,0.0435341282859955,-0.0019094005262261,0.0114261664993376,-0.0671384162348119,0.0078012381290373,2.369,0.006,single_sersic,2.37157918959984,4.0,-0.0147752560941676,-0.064461724053563,1.3273217694441997,,,,,,431.6874189011078,121.10532157228772,0,241.7578615169029,17.715371034700755,7.58925724029541,229.7,2.8
SDSSJ1313+4615,1,1,1,0,0.185,0.514,258,12,-1.0,,0,,,,,,,,,,,,2.15,1.37,1.2898465374241177,0.0058583622698888,2.17692512944845,0.0226083307098945,0.0822149081842583,0.1041116770858972,0.013110173844512,0.0895924047130394,0.0141606849967086,2.17,0.005,single_sersic,2.1711180758050075,4.0,0.0413405209109777,0.1014638322097864,1.810464278330016,,,,,,1128.982936256097,261.2447812964217,0,245.954410260214,17.002256019241145,8.705721855163574,,
SDSSJ1319+1504,0,0,0,0,0.154,0.606,227,10,-1.0,no Einstein radius reported in Auger et al. 2009,0,,,,,,,,,,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,0,236.075875866725,12.787479598188998,10.201939582824709,,
