ID,Survey,RAJ2000,DEJ2000,P,nJ,nH,Jmag,e_Jmag,Hmag,e_Hmag,Type,Flag,FlagJ,FlagH,E(B-V),Jmagc,Hmagc,Catalog
1043739,K18a,11.182279,41.47657,14.653681,1,1,19.126,0.036,18.459,0.041,FM,0,0,0,0.29939,18.947,18.355,C
106115,K18a,11.040117,41.310389,14.924754,1,1,19.196,0.036,18.603,0.041,FM,0,0,0,0.26456,19.032,18.508,C
2022817,K18a,11.394007,41.828962,14.864947,1,1,18.79,0.036,18.159,0.041,FM,0,0,0,0.27291,18.623,18.061,C
188724,K18a,10.925285,41.248929,15.249145,1,1,19.145,0.036,18.509,0.041,FM,0,0,0,0.21856,19.002,18.425,C
2065737,K18a,11.39335,41.937337,15.376217,1,1,18.943,0.036,18.335,0.041,FM,0,0,0,0.303,18.762,18.23,C
932071,K18a,11.050694,41.828887,15.930637,1,1,18.975,0.036,18.408,0.041,FM,0,0,0,0.28665,18.802,18.307,C
529381,K18a,10.777264,41.24193,15.751052,1,1,18.774,0.036,18.252,0.041,FM,0,0,0,0.15582,18.658,18.184,C
186808,K18a,10.90471,41.242004,15.910152,1,1,18.948,0.036,18.358,0.041,FM,0,0,0,0.21992,18.804,18.275,C
926676,K18a,11.046345,41.801955,16.086523,1,1,18.863,0.036,18.259,0.041,FM,0,0,0,0.2414,18.71,18.17,C
2035415,K18a,11.45535,41.864422,16.089298,1,1,18.844,0.036,18.357,0.041,FM,0,0,0,0.23525,18.694,18.269,C
171728,K18a,10.9067,41.186903,16.598494,1,1,18.965,0.036,18.468,0.041,FM,0,0,0,0.25616,18.805,18.375,C
184857,K18a,10.977366,41.234818,16.361408,1,1,18.884,0.036,18.285,0.041,FM,0,0,0,0.22587,18.738,18.2,C
1063111,K18a,11.22918,41.553151,16.196831,1,1,18.931,0.036,18.322,0.041,FM,0,0,0,0.25334,18.772,18.23,C
838173,K18a,11.35451,41.708864,16.560224,2,2,19.008,0.036,18.421,0.041,FM,0,0,0,0.28368,18.836,18.322,C
100256,K18a,11.044364,41.283832,16.137832,1,1,18.837,0.036,18.288,0.041,FM,0,0,0,0.28048,18.667,18.189,C
2113097,K18a,11.711847,42.044947,17.172872,1,1,18.859,0.036,18.356,0.041,FM,0,0,1,0.25655,18.699,18.263,C
2202378,K18a,11.169803,41.903284,17.417331,1,1,18.772,0.036,18.171,0.041,FM,0,0,0,0.27533,18.604,18.073,C
185539,K18a,10.983705,41.237331,16.708088,1,1,18.932,0.036,18.403,0.041,FM,0,0,0,0.23272,18.783,18.316,C
114429,K18a,11.078434,41.346833,16.718872,1,1,18.763,0.036,18.115,0.041,FM,0,0,0,0.3063,18.581,18.009,C
114835,K18a,11.02398,41.348556,17.605177,1,1,18.916,0.036,18.205,0.041,FM,0,0,0,0.25438,18.757,18.113,C
2092057,K18a,11.359492,41.997567,18.781969,1,1,18.906,0.036,18.198,0.041,FM,0,0,0,0.2329,18.756,18.111,C
109844,K18a,10.945469,41.326963,17.643819,1,1,18.401,0.036,17.987,0.041,FM,0,0,0,0.18105,18.274,17.913,C
180060,K18a,10.985128,41.217613,17.716296,1,1,18.584,0.036,18.034,0.041,FM,0,0,0,0.2556,18.424,17.942,C
980119,K18a,10.953481,41.624066,18.605237,1,1,18.479,0.036,17.893,0.041,FM,0,0,0,0.2093,18.34,17.812,C
2213349,K18a,11.266848,41.933307,18.855322,1,1,18.603,0.036,17.932,0.041,FM,0,0,0,0.26958,18.437,17.836,C
2182037,K18a,11.282256,41.854599,18.956824,1,1,19.068,0.036,18.508,0.041,FM,0,0,0,0.31634,18.882,18.4,C
848638,K18a,11.350995,41.735143,20.234055,1,1,18.761,0.036,18.222,0.041,FM,0,0,0,0.2778,18.591,18.123,C
2176960,K18a,11.111711,41.843285,20.198866,2,2,18.34,0.036,17.77,0.041,FM,0,0,0,0.30639,18.158,17.664,C
163026,K18a,10.952265,41.153912,20.096634,1,1,18.182,0.036,17.648,0.041,FM,0,0,0,0.22748,18.035,17.563,C
1075714,K18a,11.26344,41.60054,20.197461,2,2,18.471,0.036,17.938,0.041,FM,0,0,0,0.25911,18.31,17.844,C
1042825,K18a,11.235368,41.472897,21.817063,1,1,18.596,0.036,17.95,0.041,FM,0,0,0,0.29416,18.419,17.848,C
132245,K18a,11.022889,41.424251,21.736528,1,1,18.358,0.036,17.82,0.041,FM,0,0,0,0.17601,18.233,17.748,C
1197060,K18a,10.810672,41.504037,21.971148,1,1,18.451,0.036,17.831,0.041,FM,0,0,0,0.20413,18.314,17.752,C
2043783,K18a,11.538154,41.884894,22.394241,1,1,18.304,0.036,17.771,0.041,FM,0,0,0,0.24603,18.149,17.68,C
107124,K18a,10.998385,41.314944,22.233089,1,1,18.301,0.036,17.927,0.041,FM,0,0,0,0.21677,18.159,17.844,C
943285,K18a,11.007868,41.502018,22.199501,1,1,18.438,0.036,17.932,0.041,FM,0,0,0,0.17701,18.313,17.86,C
2135262,K18a,11.656426,42.103757,22.67427,1,1,18.523,0.036,18.055,0.041,FM,0,0,1,0.26683,18.359,17.959,C
929227,K18a,11.047894,41.814085,23.180233,1,1,18.281,0.036,17.843,0.041,FM,0,0,0,0.32189,18.092,17.733,C
186320,K18a,11.012095,41.240205,25.381092,1,1,18.566,0.036,17.987,0.041,FM,0,0,0,0.21982,18.422,17.903,C
1052273,K18a,11.241482,41.509395,23.288087,2,2,18.827,0.036,18.193,0.041,FM,0,0,0,0.25188,18.669,18.101,C
2200129,K18a,11.218756,41.897427,27.510184,1,1,18.318,0.036,17.69,0.041,FM,0,0,0,0.33745,18.122,17.577,C
1081355,K18a,11.279663,41.621764,26.429404,1,1,18.171,0.036,17.583,0.041,FM,0,0,0,0.23652,18.02,17.495,C
1058535,K18a,11.273931,41.534884,26.53934,1,1,18.309,0.036,17.61,0.041,FM,0,0,0,0.28528,18.136,17.51,C
185904,K18a,10.996143,41.238625,27.888057,1,1,18.334,0.036,17.69,0.041,FM,0,0,0,0.25546,18.174,17.597,C
185753,K18a,10.905657,41.23809,28.802572,1,1,18.465,0.036,17.868,0.041,FM,0,0,0,0.22151,18.321,17.784,C
834826,K18a,11.363274,41.699848,28.677158,2,2,18.257,0.036,17.743,0.041,FM,0,0,0,0.27374,18.09,17.646,C
2080115,K18a,11.686385,41.968748,30.950724,1,1,18.025,0.036,17.409,0.041,FM,0,0,0,0.26433,17.861,17.314,C
2030847,K18a,11.381116,41.853392,31.517755,1,1,18.178,0.036,17.536,0.041,FM,0,0,0,0.26602,18.014,17.44,C
2149908,K18a,11.673079,42.147474,32.16875,1,1,17.863,0.036,17.253,0.041,FM,0,0,0,0.24387,17.709,17.163,C
2154662,K18a,11.619786,42.166931,33.583048,1,1,17.988,0.036,17.397,0.041,FM,0,0,0,0.21241,17.847,17.315,C
116004,K18a,11.099734,41.353384,35.902575,1,1,17.907,0.036,17.284,0.041,FM,0,0,0,0.31348,17.722,17.177,C
832653,K18a,11.348408,41.693408,36.831917,1,1,18.013,0.036,17.249,0.041,FM,0,0,0,0.27697,17.844,17.151,C
865178,K18a,11.44054,41.77494,42.146768,2,2,17.816,0.036,17.078,0.041,FM,0,0,0,0.2565,17.656,16.985,C
2126848,K18a,11.696715,42.08069,43.471737,1,1,17.593,0.036,16.965,0.041,FM,0,0,1,0.30299,17.412,16.86,C
964413,K18a,11.064131,41.569258,76.555568,1,1,16.853,0.036,16.168,0.041,FM,0,0,0,0.25845,16.692,16.075,C
188335,K18a,10.929138,41.247579,43.433185,1,1,17.471,0.036,16.813,0.041,FM,0,0,0,0.22863,17.323,16.727,C
171391,K18a,10.918054,41.18569,55.938458,1,1,17.856,0.036,17.127,0.041,FM,0,0,0,0.27709,17.687,17.029,C
2194096,K18a,11.143148,41.88356,74.097149,1,1,16.651,0.036,16.109,0.041,FM,0,0,0,0.28513,16.479,16.009,C
875487,K18a,11.557202,41.799973,4.029295,1,1,20.681,0.036,20.235,0.041,FM,0,1,0,0.22005,20.537,20.151,C
2023638,K18a,11.559037,41.830826,3.281881,1,1,21.008,0.036,20.53,0.041,FM,0,0,0,0.23383,20.858,20.443,C
882844,K18a,11.567307,41.819629,3.5771,1,1,20.758,0.036,20.425,0.041,FM,0,1,0,0.23981,20.605,20.336,C
2474714,K18a,11.617646,42.228076,2.868408,1,1,20.7,0.036,20.78,0.041,FM,0,0,0,0.25775,20.539,20.687,R
1996320,K18a,11.843148,42.068432,3.062798,1,1,21.076,0.036,20.624,0.041,FM,0,0,1,0.0,21.029,20.596,R
1999499,K18a,11.851562,42.088654,3.087994,1,1,21.052,0.036,20.602,0.041,FM,0,0,1,0.0,21.005,20.575,R
2092951,K18a,11.824794,41.996841,3.124018,1,1,21.122,0.036,20.676,0.041,FM,0,0,1,0.0,21.075,20.648,R
191195,K18a,11.036171,41.258116,3.226318,1,1,20.566,0.036,20.015,0.041,FM,0,0,0,0.23756,20.415,19.926,R
2099486,K18a,11.789612,42.011747,3.356651,1,1,20.852,0.036,20.457,0.041,FM,0,0,1,0.0,20.805,20.429,R
