PGC,Nest,Nmb,logpK,Mvir,Mlum
3082907,208378,1,9.74,,5.92
3082925,208225,1,9.47,,6.4
3082943,211318,1,9.49,,1.09
3082955,200263,7,10.59,32.1,103.0
3082959,203563,1,10.41,,331.0
3082962,201266,3,10.33,,71.3
3083009,200521,5,10.19,9.4,37.8
3083038,202716,2,9.94,,13.4
3083046,200433,5,10.53,114.0,59.2
3083057,207513,1,10.12,,9.04
3083060,200019,32,10.91,225.0,388.0
3083085,208565,1,10.14,,5.46
3083091,204799,1,10.15,,50.5
3083094,203445,1,10.22,,455.0
3083102,211632,1,9.59,,0.77
3083110,201910,2,10.41,,12.1
3083125,206158,1,9.67,,18.5
3083134,207433,1,9.61,,9.28
3083145,208900,1,9.74,,4.66
3083177,210486,1,9.61,,2.0
3083189,203494,1,10.18,,399.0
3083238,207534,1,9.85,,9.04
3083344,202044,2,9.77,,13.8
3083348,200692,4,10.19,,36.8
3084707,100004,81,11.3,1410.0,1770.0
3084721,200249,7,10.22,23.1,16.6
3084723,200402,5,10.81,447.0,1630.0
3084737,200040,19,10.85,436.0,420.0
3084747,100526,4,,,15300.0
3084875,200315,6,10.53,118.0,150.0
3084878,100599,4,10.43,,98.9
3084908,200215,7,10.75,2600.0,3040.0
3084924,100212,8,10.55,15.7,125.0
3084940,107142,1,9.66,,12.1
3084942,100166,8,10.97,1320.0,2950.0
3085077,203887,1,10.04,,175.0
3085086,106732,1,9.75,,16.8
3085099,202143,2,10.12,,14.6
3085139,206682,1,9.6,,13.8
3085248,104426,1,9.92,,135.0
3085300,111918,1,9.3,,1.17
3085368,100091,12,10.55,35.3,73.7
3085371,106653,1,9.97,,17.9
3085533,102126,2,9.9,,12.3
3085537,101729,2,10.03,,44.7
3085552,205463,1,9.86,,28.2
3085562,204673,1,10.14,,57.7
3085584,203142,1,,,1630.0
3085627,100095,11,10.98,1030.0,4980.0
3085630,100095,11,10.98,1030.0,4980.0
3085668,101492,2,10.47,,55.1
3085669,109622,1,9.74,,4.36
3085671,100072,13,10.93,152.0,610.0
3085679,105835,1,9.79,,28.4
3085693,100190,8,10.68,10.4,132.0
3085726,107199,1,9.63,,12.4
3085739,203457,1,10.25,,431.0
3085743,208315,1,9.93,,6.07
3085754,206414,1,9.97,,16.2
3085800,104610,1,10.11,,98.2
3085884,106663,1,9.61,,15.1
3085893,102716,2,9.95,,39.9
3085897,102993,2,9.77,,5.22
3085927,103076,2,9.94,,33.8
3085935,104250,1,9.94,,130.0
3085936,101332,3,9.99,,4.76
3085946,103473,1,10.27,,971.0
3085965,110914,1,10.18,,2.14
3085969,103843,1,10.01,,278.0
3085981,112385,1,10.0,,0.63
3085995,100143,9,10.41,74.6,48.9
3085999,100401,5,10.4,76.5,66.3
3086028,111801,1,9.09,,1.13
3086049,101960,2,9.86,,19.3
3086070,105054,1,9.95,,47.5
3086078,103996,1,10.15,,204.0
3086079,110330,1,9.35,,2.87
3086080,101165,3,9.97,,6.17
3086097,108866,1,9.76,,5.53
3086112,104441,1,9.87,,97.2
3086129,105561,1,9.8,,29.0
3086184,100156,9,10.41,27.4,52.6
3086197,104424,1,10.03,,93.3
3086201,112021,1,9.37,,0.948
3086220,100557,4,10.4,,127.0
3086222,105745,1,9.81,,27.7
3086269,100557,4,10.41,,127.0
3086288,110359,1,9.22,,2.77
3086325,111155,1,9.3,,1.89
3086330,101034,3,10.27,,47.6
3086359,100821,3,10.25,,84.1
3086450,104026,1,10.08,,210.0
3086468,108514,1,9.63,,6.52
3086477,102757,2,10.51,,60.3
3086520,106691,1,9.62,,14.6
3086566,103905,1,10.22,,225.0
3086567,104333,1,9.93,,108.0
3086568,100104,11,10.7,96.7,456.0
3086622,112448,1,9.6,,0.579
3086626,100104,11,10.71,96.7,456.0
3086631,101452,2,10.63,,10300.001
3086639,109070,1,9.41,,5.3
3086686,103216,1,10.31,,3620.0
3086694,105918,1,9.84,,25.1
3086727,103641,1,10.27,,513.0
3086729,106730,1,9.63,,14.2
3086779,103195,1,10.61,,4780.0
3086783,102266,2,9.86,,19.3
3086825,105681,1,10.19,,26.3
3086893,109958,1,9.36,,3.33
3086947,100285,6,10.48,2780.0,1710.0
3087005,103998,1,10.1,,196.0
3087014,105156,1,9.89,,44.6
3087021,102548,2,10.17,,30.6
3087025,100169,8,10.74,770.0,1150.0
3087051,100520,5,10.51,3.71,162.0
3087052,100520,5,10.51,3.71,162.0
3087053,103198,1,10.27,,4900.0
3087072,101901,2,9.94,,17.3
3087073,101449,2,10.29,,180.0
3087083,101576,2,10.53,,274.0
3087098,101259,3,10.28,,61.1
3087104,102044,2,10.21,,135.0
3087109,104472,1,9.9,,93.0
3087119,105149,1,9.8,,45.1
3087124,100089,12,10.79,97.2,321.0
3087139,109075,1,10.15,,5.35
3087149,102983,2,10.63,,2940.0
3087154,103189,1,10.29,,4970.0
3087161,100932,3,10.17,,32.8
3087166,102580,2,10.29,,164.0
3087189,107586,1,9.93,,10.2
3087196,102342,2,10.2,,23.5
3087204,100712,4,10.58,,385.0
3087219,106275,1,9.69,,18.8
3087230,200686,4,10.07,,14.6
3087231,200180,8,10.77,279.0,906.0
3087232,200180,8,10.79,279.0,906.0
3087237,100658,4,10.24,,54.1
3087241,103721,1,10.21,,431.0
3087244,104099,1,9.95,,192.0
3087260,103831,1,10.17,,331.0
3087285,111220,1,9.48,,1.75
3087292,100897,3,10.25,,117.0
3087293,100172,8,10.6,182.0,116.0
3087294,200565,4,10.32,,190.0
3087295,201792,4,10.38,,223.0
3087299,201080,3,10.47,,195.0
3087304,100080,12,10.7,332.0,164.0
3087329,108623,1,9.91,,6.53
3087332,107949,1,9.58,,8.7
3087334,104731,1,9.92,,74.4
3087355,100386,5,10.72,240.0,1880.0
3087366,100328,6,10.22,50.1,34.6
3087377,104017,1,10.08,,219.0
3087380,104158,1,10.1,,170.0
3087393,104943,1,9.89,,60.0
3087398,106520,1,9.76,,17.1
3087422,202717,2,9.78,,11.2
3087423,102321,2,10.35,,339.0
3087430,102202,2,9.64,,7.9
3087461,106599,1,9.78,,15.7
3087465,100320,6,10.71,230.0,1250.0
3087476,109333,1,10.49,,4.35
3087478,203283,1,10.17,,859.0
3087486,105194,1,9.88,,43.9
3087490,101393,2,10.4,,711.0
3087503,106154,1,9.82,,23.0
