beta,re_scale,n,r,p,slope,delta_h0,median_sigma,sigma_ref,alpha_opt,unified_h0,post_slope,post_r
0.02,1.1,29,0.4300224120728248,0.019894726129915233,0.07571411102116715,4.628158226115971,91.85971110392222,75.25,0.5769531249999995,68.48280636445404,3.1414134213995564e-05,0.00019782622832437678
0.02,1.15,29,0.4300224120728249,0.019894726129915233,0.07578145346536241,4.628158226115971,91.77808087401846,75.25,0.5769531249999995,68.48983212482095,3.144530059744347e-05,0.00019782622832447485
0.02,1.2,29,0.4300224120728249,0.019894726129915233,0.07584598551484936,4.628158226115971,91.6999933178141,75.25,0.5769531249999995,68.49655949980621,3.147516931708728e-05,0.00019782622832696426
0.02,1.25,29,0.43002241207282477,0.019894726129915233,0.07590793448831595,4.628158226115971,91.62515633942381,75.25,0.5769531249999995,68.50301283103835,3.1503845215946555e-05,0.00019782622832629433
0.02,1.3,29,0.43002241207282477,0.019894726129915233,0.07596750111420975,4.628158226115971,91.55331244130858,75.25,0.5769531249999995,68.50921359693298,3.1531420883450454e-05,0.00019782622832498176
0.03,0.7,29,0.4290114915604675,0.02021923134396153,0.07571826750307804,4.628158226115971,91.75524253482907,75.25,0.5785937499999995,68.4786738148944,3.826245099332676e-06,2.4031250789472564e-05
0.03,0.75,29,0.4290114915604675,0.02021923134396153,0.0758751504250913,4.628158226115971,91.56552521000974,75.25,0.5785937499999995,68.49507731632386,3.835091254073185e-06,2.4031250788535227e-05
0.03,0.8,29,0.4290114915604675,0.02021923134396153,0.07602219883344268,4.628158226115971,91.38841161755131,75.25,0.5785937499999995,68.51042532411198,3.843384792873954e-06,2.403125078957751e-05
0.03,0.85,29,0.4290114915604675,0.02021923134396153,0.0761605891548266,4.628158226115971,91.22235103694297,75.25,0.5785937499999995,68.52484569387784,3.851191710717759e-06,2.403125078957845e-05
0.03,0.9,29,0.4290114915604674,0.02021923134396153,0.07629129774342917,4.628158226115971,91.06606132755648,75.25,0.5785937499999995,68.53844436003864,3.8585667913509615e-06,2.403125078624631e-05
0.03,0.95,29,0.4290114915604675,0.02021923134396153,0.07641514391083125,4.628158226115971,90.91847039075232,75.25,0.5785937499999995,68.5513100783955,3.8655560173854905e-06,2.403125078672903e-05
0.03,1.0,29,0.4290114915604675,0.02021923134396153,0.07653282196320357,4.628158226115971,90.7786727425562,75.25,0.5785937499999995,68.56351795154984,3.872198361547061e-06,2.4031250783707695e-05
0.03,1.05,29,0.42901149156046736,0.02021923134396153,0.07664492545484372,4.628158226115971,90.64589674831407,75.25,0.5785937499999995,68.57513209380754,3.8785271504389975e-06,2.403125078824444e-05
0.03,1.1,29,0.4290114915604675,0.02021923134396153,0.07675196582417994,4.628158226115971,90.51947952678037,75.25,0.5785937499999995,68.58620767595107,3.8845711001454786e-06,2.4031250788623593e-05
0.03,1.15,29,0.42901149156046736,0.02021923134396153,0.07685438690581518,4.628158226115971,90.39884746691412,75.25,0.5785937499999995,68.5967925153889,3.890355138637503e-06,2.4031250788559313e-05
0.03,1.2,29,0.4290114915604675,0.02021923134396153,0.07695257636825413,4.628158226115971,90.2835009163917,75.25,0.5785937499999995,68.60692832783887,3.895901041497563e-06,2.403125078797365e-05
0.03,1.25,29,0.4290114915604675,0.02021923134396153,0.07704687482776115,4.628158226115971,90.17300201459526,75.25,0.5785937499999995,68.61665172348623,3.901227945244825e-06,2.4031250786536392e-05
0.03,1.3,29,0.4290114915604675,0.02021923134396153,0.07713758318330138,4.628158226115971,90.0669649261966,75.25,0.5785937499999995,68.62599500777125,3.9063527563954785e-06,2.4031250785653445e-05
0.04,0.7,29,0.4279417434741577,0.020567348172728893,0.07638354291285553,4.628158226115971,90.82612939579643,75.25,0.5796874999999995,68.54776827234798,2.910362176127239e-05,0.00018050629731228697
0.04,0.75,29,0.42794174347415775,0.020567348172728893,0.07659463084853693,4.628158226115971,90.57582072601478,75.25,0.5796874999999995,68.56970394428373,2.9193389448008178e-05,0.00018050629731215762
0.04,0.8,29,0.4279417434741577,0.020567348172728893,0.07679261846322061,4.628158226115971,90.34229710027506,75.25,0.5796874999999995,68.59022974933582,2.9277612138749887e-05,0.0001805062973158964
